,class,conversation
0,일반 대화,대학 수업이라는게 진짜 어렵더라고너도 진짜 어려운 시험이었나보다
1,일반 대화,곧 갈 수는 있는 거지? ㅋㅋ죽기 전엔 가지 않을까 싶어 ㅋㅋ
2,일반 대화,"나는 버스가 흔들거리는 것도 좋고, 의자도 편하고, 무엇보다 풍경을 잘 볼 수 있다는 게 좋아.오 그렇구나! 난 버스 오래 타면 멀미나더라고. 흔들거리는 게 싫어."
3,일반 대화,나는 스터디 카페가 공부가 잘되서 이용하긴 하는데 너무 비싸요즘 독서실이 다 사라지고 스터디 카페가 생겼더라
4,일반 대화,나는 스트릿룩이 좋더라 남자답고.스트릿룩 언니 남친한테 잘어울리겠다!
5,일반 대화,"고양이 등에 털이 왕창 뽑혔어!와, 무슨 일이래, 누가 잡아 뜯은 거야?"
6,일반 대화,다들 이번 추석때 본가 다녀왔어?나는 할머니댁 다녀왔어
7,일반 대화,다이어트는 잘 되가냐 ㅋㅋ삼일째 야식은 아넉엇엉/안먹엇엉
8,일반 대화,"응... ㅋㅋ 볼터치랑 과하게 하고 다니던 시절 생각하면 조금 민망해ㅋㅋ 근데 또 그때는 그렇게 하는게 유행이기도 했고,, 어렸으니까..."
9,일반 대화,이렇게 합리화 하지 마라 이건 가스라이팅이야가스라이팅 같은 소리 하네 어디서 또 주워들어와서
10,일반 대화,그럼 남반구의 산타 할아버지한테 부탁 해 볼까?남반구는 크리스마스에 너무 더워서 산타 할아버지도 열사병으로 쉬지 않으실까?
11,일반 대화,ㅋㅋ 학창시절 내용이랬나?맞아 되게 청순 로맨스 내용이야 하하
12,일반 대화,수요는 떨어지는데 사료 가격이나 인건비는 계속 올라서 그렇다나봐.그럼 어쩔 수 없긴 하네.
13,일반 대화,그러니까 배부른 소리 하지마너도 다니면 알게 될걸?
14,일반 대화,ㅋㅋ 어어...때마침 오봉에서 전화옴전화? 왜?
15,일반 대화,동물병원 가봤어?나는 갈 일이 없지.
16,일반 대화,왜 강행했어 ㅠ 그게 가능?응 하나뿐인 신행이니까 가보자 하고 갔찌... 우비만 입고 ㅋㅋ
17,일반 대화,멋진데...?당연하지~!
18,일반 대화,나 친구 집들이 선물 살라는데 주변에서 거기 이쁜 거 많다길래나도 들어보긴 했음./근데 실제로 써본 적은 없네 ㅜ
19,일반 대화,가서 사진도 많이 찍자!dslr챙겨가야겠다
20,일반 대화,텀블러 컵 안에 있어서 빼먹고픈데 안되니까 웅웅 거리나봐 ㅋㅋ왜 거기에 넣었어/어쩐지 옴청 웅웅거리면서 가만히 서있더라
21,일반 대화,맞아 어떤 일이 있을지도 몰라조심해서 나쁠 건 없지
22,일반 대화,경포대 갔는데 비가 와서 파도가 너무 무서웠어아 위험하긴 했겠다 ㅠㅠ/1박 2일은 어딜가든 짧아 ㅠㅠ
23,일반 대화,던킨보단 크리스피도넛이 더 맛나지 않아?난 크리스피 다양하게 안먹어 봐서 모르겠어
24,일반 대화,택배 보냈는데 확인 좀택배 뭐 보냈는데? ㅋㅋ
25,일반 대화,저번주에 침 맞았는데 효과 하나도 없더라아 그래?  난 근육통 오면 한의원 가서 침 맞으면 바로 낫더라고~
26,일반 대화,그 정도면 프로 게이머 해도 됐겠는걸!아니야 중독성이 심한 게임이라 이만 시간 한사람도 있다던데?
27,일반 대화,이 게임도 진짜 많이 했는데 ㅋㅋㅋㅋ 맞아 그건 나도 재밌게 했던 거 같아 ㅋㅋ
28,일반 대화,응 많기는 한데 어떻게 가르쳐야 할지 모르겠어.너가 배운대로 가르쳐 봐.
29,일반 대화,아무래도 같은 세대를 보낸 사람들이랑 대화도 더 잘 통하고 재밌지 ㅋㅋㅋㅋ 맞아 대화 잘 통하는 게 제일 중요하지 연애 때는
30,일반 대화,하하 얼마나 만났어 너나 지금 300일정도? 하하 행복
31,일반 대화,나는 문자 sns로  많이 왔어!ㅋㅋ 아 그래?/그래서 난 메일 정리 항상 했어야 됐어 ㅠㅠ
32,일반 대화,한 10명은 있어야 재밌는뒤...ㅋㅋ 학교 때 재미있었지
33,일반 대화,맞아 유명한 머리야그거 아무나 못 하는 머리야
34,일반 대화,많이는 아니구나잘 몰랐던 사실이네
35,일반 대화,하루종일 긁어줘야 할걸요?아그런거야?? ㅋㅋ 할...수 있지 하하/나는 요즘 물고기 키운고 있어
36,일반 대화,나라에서 지원도 많아.요즘 전기차 많더라.
37,일반 대화,이번에 자전거에 부딪혔어지나가는 자전거에 부딪힌거야?
38,일반 대화,나는 얼굴만 10개 뺐어.너는 점이 많았구나.
39,일반 대화,웅웅 이제 쓰는 게 편해졌어하하 오우 완전 다행이다
40,일반 대화,정말 누구하나 괜찮은 사람이 없냐맞아 차라리 내가 나가야겠어
41,일반 대화,진짜 거기가면 동물키우는 사람 많구나느껴고양이는 산책하기 힘들지
42,일반 대화,푸른 바다랑 각종 해산물이 유명해.아 그렇구나. 오빠 해산물 좋아하지 않아?
43,일반 대화,흠 일단 이번 달은 못 만날 거 같고 그냥 혼자 보러 가야지!웅 봐 바 혼자도 볼만해
44,일반 대화,뭐야 너 2명이야? ㅋㅋ엄마가 이거 보면 서운해할 것 같아서
45,일반 대화,수영 수업 두 번 듣는 것도 되는 거야? ㅋㅋ자유수양 하는 곳 있어/ㅌㅌ즇지
46,일반 대화,비대면으로 수업들으면 과제가 밀릴 수 밖에 없어 ㅋㅋ너도 그래?/학교 아직 비대면 수업이잖아!
47,일반 대화,맞아 동네가 다 다르면 괜찮은거 같아ㅋㅋ 이번엔 어떤 동네를 갈까
48,일반 대화,쟤 때문에 넘 잠 와 ...나두 너무 졸리다 ...
49,일반 대화,문법 모르는데 그냥 아는거 같은거 찍으면 답이래 대박몸에 익숙하니까 그런 거 아니야ㅠㅠ
50,일반 대화,이제 추워서 못 타ㅋㅋ 딱 지금 시기가 오픈카 타기 좋다
51,일반 대화,개 아프지?웅 선택은 할 수 있고 아프진 않아 ㅋㅋ 마취를 해서
52,일반 대화,나중에 보령에 여행가보고 싶어!보령은 갑자기왜?
53,일반 대화,상반기 하반기 두 번 신청할 수 있더라.교통비는 뭐로 돌려받는 거야?
54,일반 대화,엌 ㅋㅋ 지난달부터 바꾸더라 할인폭도 줄이고나는 딱히 살게 없다...
55,일반 대화,어 나도 최근에 알고 깜짝 놀랬어!점심은 거기에서 주로 먹겠네?
56,일반 대화,ㅋㅋ 내가 니 취향 알아줬다ㅋㅋ 알라딘 진짜 최고
57,일반 대화,응응 30분만에 진입해서 다행이야 ㅋㅋ 뉴스에 나왔더라구크게 안 번져서 다행이지 ㅠㅠ/근데 뉴스에 나올 정도면 규모가 좀 되야 나오지 않아? ㅠㅠ
58,일반 대화,"사회초년생인데 좀 봐달라고~난 청년이라고,"
59,일반 대화,뭐 당뇨? 우리 나이에도 당뇨가 걸려?당연하지/요즘 젊은 사람들 당뇨 엄청 많이 걸려~
60,일반 대화,그러게 그래도 연애는 같이 하는거니까 대화를 해봐야지꼭 잘 해결되면 좋겠는데 어려운 문제다
61,일반 대화,그랬는데?그래서 그 사람이 이렇게 말했거든?/모든 순간 순간을 살 거라고.
62,일반 대화,나 하러 간다하고 재미있으면 나도 할래
63,일반 대화,넌 기념일 챙기는 편이야?응 나는 무조건 챙겨!
64,일반 대화,완전 비교될 것 같아그런걸로 괜히 주눅들지 마
65,일반 대화,과목보다는 일단 공부를 열심히 하는게 제일 중요하지ㅋㅋ 뼈맞았어 선생님같은 소리하네
66,일반 대화,호라 무슨 곱창이지 ?볶던데 볶으면 돼진가?
67,일반 대화,내가 집에서 오늘 애들 셀프 미용 해 줬다?오래 안 걸렸어?/나는 기본 한 시간이던데
68,일반 대화,우리는 일본 사회 따라간다고 하니까 ㅠㅠ진짜 이리 치이고 저리 치이고 힘들다 흑흑
69,일반 대화,약간 아프면서도 시원한 느낌이야두피 건강이 탈모에 중요하대
70,일반 대화,기사님 오시는데 며칠 걸린다고 하니까 며칠은 참고 사는 수 밖에 없지 뭐.어쩐지 요즘 들어 하수구 악취도 나고 물이 잘 안 빠지더라고.
71,일반 대화,너 요즘에 건강은 어때?요즘 술 때문에 좋은 편은 아니야
72,일반 대화,"응, 그리고 직장을 구할 경우에도 일산은 가까우니까 많이 출퇴근 하기도 하지맞아, 우리 지역에서 일하는 사람은 드물지. 언니도 전 직장이 일산에 있었잖아"
73,일반 대화,넌 지금까지 다녀 본 여행지중에 어디가 제일 좋았어?난 이번에 갔다 온 강원도가 제일 좋았어 ㅠㅠ 너는?
74,일반 대화,게임 전시회에 대해서 알아?이번에 지스타 2021을 진행한다고 하더라
75,일반 대화,요즘 기분이 많이 안좋겠다좋아하던 선수가 이적하는 경험을 많이 겪었거든
76,일반 대화,나도 특정 음식 먹으면 항상 볼에 뾰루지가 나난 밀가루 음식을 많이 먹으면 그런 것 같아
77,일반 대화,보톡스 맞아본 적 있어?보톡스? 아니 ? 너 맞으러 가려고?
78,일반 대화,"그치! 이번 주말에 또 비 오면 더 추워질 거래ㅠㅜ 비야 그만 와 제발, 넘 많이 와"
79,일반 대화,와... 그러면 윗집 잘 만나는 거 아닌 이상 매일 스트레스 받겟는데 ?응... 우리 집도 아파트 살다가 단층 주택으로 이사하고 그랬어ㅎ... 단층 주택이 최고긴 해
80,일반 대화,그니깐 말다툼 하다가 때리고 계단에 떨어졌는데 그냥 갔대헐 신고도 안 해주고 부축도 안 하고? 인성이 왜 그래 ㅠㅠ
81,일반 대화,넌 사격 잘해?나 잘하지 명저격수잖아/지난번에 내 실력 못 봤어?
82,일반 대화,성격은 어땠대?잘 울고 옹알이 많고 잘 안잤다고 들었어
83,일반 대화,그래도 산책할따는 비 좀 덜오겠지?지금 비 안오지않어?
84,일반 대화,영화 예매할 때 온라인으로 싸게 할 수 있더라얼마나 더 싸게할 수 있어?
85,일반 대화,거기서 주는 씨몽키 키워봤어? ㅋㅋ에엥 거기서 씨몽키를 줬어?
86,일반 대화,마룻바닥은 나무가 좋아?응 나무가 집 분위기를 좋게 해주는 것 같아
87,일반 대화,음 그러면 SE 제품은 어떤 것 같아?보급형으로 나온것 치고 되게 좋은 것 같던데?
88,일반 대화,천고마비의 계절 가을이 돌아왔구나!가을이 되어서 그런지 요즘 밥만 먹으면 피로가 밀려와.
89,일반 대화,어떤 밥집이 좋을 것 같은데?그냥 편하게 먹을 수 있는 한식이 좋을 것 같아
90,일반 대화,만화는 그림이 좀 단순해서 작화 보는 맛은 없어.그래도 스토리 참신해서 만화 보는 것도 괜찮을 거 같아.
91,일반 대화,GTA라는 게임 들어봤어?잘 알지 내가 인방 많이 보거든
92,일반 대화,"크아는 꼬물이가 제일 재밌지.아니 , 크아는 당연히 몬스터전이지!"
93,일반 대화,자주 반복을 해주지 않으면 다 까먹는 것 같아.맞아 무조건 여러 번 봐야 그나마 오래가는 것 같아.
94,일반 대화,뭔가 털 색은 흰색일 거 같아!응 ㅋㅋ 맞아/털 색은 흰색이지~
95,일반 대화,응 미국 회산데 혹시 알고 있었어?아니 몰랐어/기사 알려줄래?
96,일반 대화,미쳐땈 ㅋㅋ 얼른겨울이어머님 나아야될텐데엄니 어디가편찮으신걸까
97,일반 대화,그게 미국에만 시행하는 건가?그런 거 같아 ㅋㅋ 화이자만 해당된다더라
98,일반 대화,우리 엄마도 엄마가 처음이라 이럴 줄 몰랐겠지예체능은 타고 나야 해 정말/난 어린이집 다니면서 미술은 아니라는 걸 떡잎부터 알아봤지만 내가 너무 졸라서 엄마가 잠깐 보내줬었어 ㅋㅋ
99,일반 대화,괜찮아 이제 곧 정리해서 나갈거야아 맞아 이제 100리터 쓰레기봉투 없어졌다며?
100,일반 대화,너 어렸을때 원피스 봤어?원피스 봤지 하하 고무고무 팔~
101,일반 대화,아육대가 연애의 장이래연예인이라고 연애 안하는건 아니지
102,일반 대화,언니 주변에 직업 군인 있어?응! 내 친구 직업 군인 하고 있어~
103,일반 대화,"당근 마켓 온도 올리기 쉽지 않은데 어떻게 높였어?거래를 자주 하고, 나 같은 경우에는 애프터서비스도 해줬어!"
104,일반 대화,약간 노트북 느낌인가?결국엔 나중에 남자가 떠나는데 여자는 덤덤히 받아들임 ㅠ
105,일반 대화,그것도 정말 좋은 생각인 것 같아그래 그럼 다음 달부터 내가 2명 등록할게
106,일반 대화,아니 동생이 지적 장애인가 있는 애래 ㅜㅜ헐 또 장애가 있어 ㅜㅜ 너무 슬프다
107,일반 대화,아니 악마얼굴 왤케 계속 보여줘 ㅋㅋ맞아 클로즈업 많긴해
108,일반 대화,나도 모르겠어원빈도 나왔었던 거 같은데
109,일반 대화,내 자소서 니가 좀 써주라.이거 갖고 되겠냐?/비싼 걸 사줘야지 ㅋㅋ .
110,일반 대화,생각난다 ㅋㅋ 언제 시간 나면 같이 한번 하자!ㅋㅋ 웅 좋아 다음에 같이 해보자 하하
111,일반 대화,진짜... 그런 사람들도 부모님이 안 버리고 잘 키워 주셨을 텐데 뭘 배우고 자라서 강아지를 버려 이해가 안 가그러니까 정말 이해할 수가 없어
112,일반 대화,ㅋㅋ 재밋냐 ㅋㅋㅋㅋ 집이야기 ㅋㅋ/네네맛있네 ㅋㅋ
113,일반 대화,웅 남친 뭔가 잘 알려줄거같아맞아 화안낼것같아
114,일반 대화,나 장보는 거 짱 좋아하는데!ㅋㅋ 천직 발견?/근데 대부분 라이더들은 남자이기도 하고 그냥 음식 배달하는 걸 더 선호할 꺼 같음
115,일반 대화,오늘 나갔다 왔나?웅 이제 쌀쌀하더라
116,일반 대화,ㅋㅋ 어우 난 질색 ㅋㅋ 근데 그건 좋았어 스킬 자수?아아 그 겨울에 많이 했던 거 그거 말하는 거지?
117,일반 대화,예전에 피부과에 갔다가 바가지를 쓴 적 있어서 그런 곳은 잘 안다녔는데 한번 가볼까꼭 여드름이 아니더라도 주기적으로 가면 좋더라
118,일반 대화,다음에 테일즈 런너도 같이 해 보자나 좀 잘하는데 괜찮겠어?
119,일반 대화,가족들과 간거야?남자친구와 가거나 가족들과 갔어
120,일반 대화,갈 수는 있는지부터 물어야지 ㅎ2차 접종 완료자는 갈 수 있다더라...
121,일반 대화,그치? 요즘 고령화 사회니까 많이 생겨서 어르신들 건강했으면 좋겠어!맞아맞아 이런 환경이 많이 유행하면 좋겠다
122,일반 대화,순풍산부인과 알아알지 ㅋㅋ 시트콤
123,일반 대화,"응. 일단 채무도 연봉에 비해 250%이내여야 하고, 연봉도 어느 정도 되어야 하나 봐.그럼 일단 적어도 기준을 맞추려면 직장을 구해서 다니는 수 밖에 없구나."
124,일반 대화,근데 나는 교정기 때문에 치석이 자주 끼더라구 ㅠㅠ교정기 때문에 그런 건 어쩔 수 없지 ㅜㅜ
125,일반 대화,아 스위트홈 과장님도 재밌다고 나한테 보라고~보라고 그렇게 강추했는데 아직 안봤다...아 ㅋㅋ 근데 나도 다는 못봄 ㅜㅜ/중단했는데 갑자기 영화화 되가지고; 다 못봤다...
126,일반 대화,오히려 대형견이 온화한 것 같아생각해 보면 그런 것 같기도 해
127,일반 대화,근데 춤 추다가 배에 힘을 빼버리면 엄청 웃겨.뭐가 웃기다는 거야?
128,일반 대화,응 선생님은 좋았는데 손가락에 피가 나서 안되겠더라피가 날 정도로 연습을 한 거야?
129,일반 대화,예상으로는 2~3군데는 갈 줄 알았는데 2군데 갔어.그래도 꽤 갔는데?
130,일반 대화,나 게임 접을까봐...왜? 잘하던 게임을 왜 접으려고?
131,일반 대화,나 다음 주에 서울로 상경하려고~ ㅋㅋ서울? 그럼 비행기 타고 올라가는 거야?
132,일반 대화,고등학교 졸업하고 바로 취직해서 25살 인가봐.그럼 군대는 다녀온 거야?
133,일반 대화,그래서 나는 PC방에 자주 가는 편이야나도 예전에는 많이 안갔는데 요즘은 서비스가 다양해져서 자주 가게 되더라
134,일반 대화,뭐가 달라! 정말 요상한 아이네 ㅋㅋ그치만 설명할 수 없는 다른 류라고~!
135,일반 대화,나도 이디야 연유콜드부르라떼 아니면 아이스아메리카노로... 신메뉴는 노...그니까... 전에 뭐지 옥수수 들어간 그거는 나름... 뭐 한번 먹을만했는데 ㅋㅋ 밭두렁 같은거 씹히는... 달아 ㅜ
136,일반 대화,오 그래도 첫 출근까지 일주일 남았네응 ㅋㅋ 일주일동안 볼 일 다 봐놔야지
137,일반 대화,보드게임 하나 진짜 가져갈까?우리 집에 젠가가 있긴 한데...
138,일반 대화,우리 아파트 네이밍 변경해서 이번달부터 공사한다네구청에 먼저 신고하는게 아니고?
139,일반 대화,너는 할 생각 없어?난 눈썹이 진해서 안해도 돼 하하
140,일반 대화,응 맞아! 할아버지는 애기가 뛸 수도 있지 자기는 신경 쓰지 말라고 편지를 쓰고 갔대!역시 어른이라 이해를 잘 해주는구나 굳
141,일반 대화,아 힙합 잘 안 들으면 1분1초 이 노래가 더 취향일 거 같아.그건 나도 들어봤어.
142,일반 대화,넌 이번 여름이 더웠어 아니면 작년이 더 더웠어?난 작년이 더 더웠던거 같아 ㅜㅜ 너는?
143,일반 대화,아하. 그러면 닌텐도 게임 해본 적 없겠다.사촌들꺼나 친구들꺼로는 해봤어.
144,일반 대화,일교차가 심해서 감기걸리기 딱 좋아.나 안그래도 어제부터 콧물 나와.
145,일반 대화,그래도 거기도 오픈빨이라 그런가 줄서서 사더라!와 그 정도야?/인기 진짜 많다
146,일반 대화,결혼을 할 생각이 있어?나는 아직 결혼 생각이 없어.
147,일반 대화,그럼 비비큐는? 하하비비큐는 못봐주지
148,일반 대화,매장의 이익도 좋지만 좀 더 많은 사람들이 쉽게 키오스크 사용할 수 있게 하는 방법이 필요할 것 같아.요즘 할머니들도 카드를 쓰는 것처럼 시간이 지나면 많이 적응하실 수 있을 거야./사회적으로 좀 더 키오스크 사용법을 안내할 필요가 있어 보여.
149,일반 대화,난 오징어게임보고 정호연한테 빠졌어 하하나도 이번에 오징어게임에서 그 배우 처음 봤는데 연기 잘 하더라 하하
150,일반 대화,응. 열심히 했는데 성적이 안나오면 안돼.맞아. 그거만큼 억울한 일도 없을거야.
151,일반 대화,그것도 좋지만 주요 지역으로 가는 교통편이 많아지면 좋겠어환승하거나 돌아가지 않도록 말이구나
152,일반 대화,어딜 넘어가?제모
153,일반 대화,이제 코로나 풀리면 그쪽이 또 뜨니까 하하하하 맞아 그리고 여행은 언제나 옳으니까!
154,일반 대화,그럼 그건 패스ㅋㅋ 아니 그래서 러그는 살 거가?/어디 껀지 알아봐줄까?
155,일반 대화,밥 걱정은 안 했었겠네.응 근데 그때 살이 너무 쪘어서.
156,일반 대화,흠... 이놈그거실장이원래 자기쓴다해서 내가 선물해줫거든
157,일반 대화,당연하지 하하 맛집 미리 찾아 놔~그럼 그럼 내가 또 네이버 검색 엄청 해야지 ㅋㅋ
158,일반 대화,그건 어느 방송사에서 하는데?넷플릭스 알아?!/거기서 하는 거야
159,일반 대화,맞아 내가 선생님이라면 아이들이 대들 때 못 참을 것 같아그니까 요즘 선생님들이 참 고생이야
160,일반 대화,아침에 srt 추석 예매 대실패~와 그거 들어가면 대기시간 얼마나 나와?
161,일반 대화,아니 에어랩 방송하면 진짜 사고  싶음하하 나는 이번에 샀지롱
162,일반 대화,ㅋㅋ 아 넘 머싯... 미술 선생님이라던가취미도 멋있고... 장발 최고 잘 어울려
163,일반 대화,서울에 디저트 카페 가보자오 진짜 가자 ㅜㅜ
164,일반 대화,강아지나 고양이 키우니?둘 다 키워
165,일반 대화,오늘 책 한 권 다 읽었어.무슨 책 읽었어?
166,일반 대화,그렇다고 하는구나보이차 효능이 대단하네요
167,일반 대화,빅뱅은 요즘 곡이 안나오네샤이니 앨범은 시세가 비싸졌어
168,일반 대화,허쉬초코쿠키 좋아하지만...잘가라...ㅜㅜ 아 진짜...쿠키를 그렇게 다 통에 두는거는 처음본다 ㅋㅋ
169,일반 대화,몇 시간 있다 나와야 해?그런 건 딱히 정해져 있는 거 같지 않아!
170,일반 대화,그럼 오랜만에 같이 치맥 할까?~좋지~/치킨 어디서 먹을까
171,일반 대화,알아보는 게 낫겠다 그치? ㅠㅠ웅 어디서 많이 나왔는지 고지서 먼저 봐바!
172,일반 대화,맞아 토독토독 소리나서 들으면 맘이 편해져나도 그 소리 들으면 잠이 잘 오더라
173,일반 대화,"그래서 오토바이의 주행이 많아진 요즘 번호판을 앞 부분에도 부작하는 게 필요해보여그러게 말이야, 그렇게 된다면 사람들도 조금은 교통 법규를 지키려고 할텐데"
174,일반 대화,ㅋㅋ 저번에는 나가 산다더니 결국...와... 희소식을 기대했는데... 배드뉴스네...
175,일반 대화,그래서 수강신청 할 때는 PC방에 갔던 기억이 나그랬구나… 하긴 무선은 감수해야 하는 위험이 있지
176,일반 대화,논산이 규모가 커.그래서 유명하구나.
177,일반 대화,그렇지 너는 제안 오면 할 거야?나는 뭔가 그렇게 죽고 싶지는 않아
178,일반 대화,나도 뉴스에서 보고 깜짝 놀랐어왜 놀랐어? 무인 상점은 그런 일이 충분히 일어날 수 있는 곳이잖아
179,일반 대화,아 너는 이해할만하다는 입장이니?우리 고모가 백신 맞고 쓰러져서 무서운 건 이해가 가
180,일반 대화,그래 이따 집에 가서 꼭 잘 먹어야 해근데 비타민은 우리 건강에 어떤 도움이 되는거야?
181,일반 대화,지하철이 아무래도 빠르니까내가 인천에 살아서 그렇게 생각했나봐
182,일반 대화,전자담배인데도 그런게 있는것인가비흡연자인 언니한테는 안좋았을거야/응응 당연하지~!
183,일반 대화,그런가봐. 강아지는 그러면 막 눈치보잖아 ㅋㅋ응 ㅜㅜ 고양이는 키울 엄두가 안나ㅜㅜ
184,일반 대화,한번 받을때 거의 백만원돈이라매아 유튜브에 그런거 체험영상 있더라
185,일반 대화,너무 무섭더라빨리 녹아서?
186,일반 대화,그거 집에서 집에서 키우는 키드 있을걸?응 한번 알아보려고 해 ㅋㅋ
187,일반 대화,이 계절에 넘 필요템 ㅋㅋㅋㅋ 다른 거 시중에 나온 거 좋은 거 많어.../걍 올리브영 가셈\
188,일반 대화,며칠이나 있을 예정이야?2박3일 예정이야
189,일반 대화,바꾸고싶어도 살게없어엘지는 엔조이용이라구
190,일반 대화,응 세무가 조금 더 어려워왜?
191,일반 대화,요즘 공부하는 거 있어?나 토익 공부 시작했어
192,일반 대화,근데 고인물만 있어서 이기기 쉽지 않더라.재밌게 데이트 했으면 됐지 뭐~
193,일반 대화,엥 오빠가 부려 먹지 않을까? 하하다정한 오빠였으면 좋겠다...
194,일반 대화,응 내마음대로 흘러가는 적이 드물었던 것 같아.ㅋㅋ 하긴 그럴수도 있겠다.
195,일반 대화,난 주로 지는 편이었어.집에 종이가 안 남아 났겠다.
196,일반 대화,비타민같은거 매일 잘챙겨 먹어야 할거같아오 요즘 어떤게 안좋아...!
197,일반 대화,한시간정도 회의해?아 내가 설명할거는 얼마 안걸리는데.../스케줄 짤거 있어서 그거 좀 시간 걸릴듯
198,일반 대화,오빠있으면 좋은 점 있어?오빠가 잘 놀아줬어 어릴 때
199,일반 대화,어디간걸까다들 폐차 ㅠㅠ
200,일반 대화,응 그대신 네 사진도 상대한테 보여주려고 하는데 몇 장 보내주라그래 근데 그 사람 나이는 몇 살이야?
201,일반 대화,사료 산거 애들이 별로 안좋아하는거 같아 ㅠㅠ사료? 원래 사던거 안샀어?
202,일반 대화,"스크런치 5개, 마리띠 2개, 머리집게 2개 이렇게 샀지.이 언니 한 번에 엄청 샀네."
203,일반 대화,신차 구매 하고 싶어.돈은 있어?
204,일반 대화,나도 아직 안봤는데 같이 보러갈래?그래 근데 이거 찾아보니까 2020년 영화인데 재개봉해?
