,class,conversation
205,일반 대화,왜 이제 주냐고 열 받는다고 아까 머라하더라 ㅋㅋ 여고생들이 써준 쪽지 자랑했어야 했나봄 ㅋㅋ아 진짜 웃기다 ㅋㅋ 그때 니가 너네오빠 배 타고 그랬다했던것같은 기억난다
206,일반 대화,나 요즘 무도 보잖아엉엉 알지알지
207,일반 대화,하하 또 그 날씨에 맞는 옷을 입을 수 있으니까응응 빨리 가을옷 입구시퍼
208,일반 대화,양궁하는 김제덕 선수 별명 너무 귀엽더라아 주먹밥쿵야?
209,일반 대화,내일도 오전에 비구나... 우산 잘챙기자어어.오늘 오후에도 비온다고 해서 우산 챙겼다
210,일반 대화,신혼을 좀 즐기려고좋은 생각이야 한 2년정도 후에 낳아~
211,일반 대화,ㅋㅋ 계속따당이래방금도ㅡㅡ후 렉걸려서 안떳는데 뉴르니까 이미 참여했다고 나오거든/ㅋㅋ 당첨안된거겠지?
212,일반 대화,요새 진짜 가을 된 거 실감해나두 거리마다 은행 엄청 많아
213,일반 대화,버스비 올랐지? 1500원인가?응 현금은 1500원 카드는 1450원!/너는 버스 자주 타?
214,일반 대화,아하 막 하와이 같은 곳?응응 릴렉스할 수 있는 곳 하하
215,일반 대화,그러니까 나중에 나갈 때 물어 줘야하니 ㅠㅠ지금 사는 집은 다세대 주택인데 엘리베이터가 없어 휴...ㅠ
216,일반 대화,크기도 ㅋㅋ 양도 ㅋㅋ 스테이크 땡긴다우와 어디야 ? 스테이크 가성비 내려온다
217,일반 대화,응! 내가 스위치 신형 응모를 했는데 당첨이라서 너 집에 있는 거 써도 될 거 같아~아 진짜? 오빠도 확실히 당첨 운이 있어서 잘 붙네~
218,일반 대화,아 나 눈썹 정리해야 하는데 귀찮다!아 나도 눈썹 정리해야 되는데 ㅠㅠ
219,일반 대화,내 친구네 포도가 너무 많이 생겨서 고민이래.포도농사 하신대?
220,일반 대화,그냥 허리 찜질 하는 돌 같은 거야아아 신기하다
221,일반 대화,모르겠어 병원에서 그런 건 말 안 해주더라고진짜 답답한 거 알아서 마음아프다 ㅠ
222,일반 대화,그거 능력이 어떻게 돼?잘 기억이 안 나네 ㅋㅋ 너무 오래됐다
223,일반 대화,맞아 바람이 좀 덜 한 것 같아이정도 날씨는 그래도 견딜만 한 것 같아
224,일반 대화,그래서 트럼프 전 대통령의 임기 전에 100만명이던 이민자가 절반으로 줄었다고 해그래? 그러면 바라던 대로 이민자가 줄어서 좋은 것 아니야?
225,일반 대화,아 에어컨은 오늘 못틀겠더라 오전에 잠깐 틀었다 껐다나도 에어컨 틀었다가 끔 ㅋㅋ
226,일반 대화,그래? 나도 좀 관리해야겠어 머릿결 너무 안 좋아그래! 귀찮아도 우리도 좀 가꾸면서 살자!
227,일반 대화,뭐야 엄청 일찍 마치네?ㅋㅋ 여덟 시부터 다섯 시 ㅋㅋ 잔업이 없으면 ㅋ
228,일반 대화,"약간 남색에 가까운 색?맞아, 겨울은 더 맑아"
229,일반 대화,헐 영구가 아니라니 비싼데 고민이네너 정도면 매력이지/나는 주근깨 여왕이었구
230,일반 대화,그니까 ㅠㅠ 그래서 못시켜먹음아님 시켜도 냉동일듯...
231,일반 대화,괜히 샀다가 냉동실이 좁으면?치즈같은 것들은 부피 안크니까 사자.
232,일반 대화,이제 다 광고가 붙어광고는 어쩔수 없지
233,일반 대화,트리트먼트 해도 소용 없다 ㅜㅜ머리가 왜상하는지 모르겠어
234,일반 대화,아 맞아 나도 그 얘기 들었어.게다가 혜택도 적어진다니 망설여지네
235,일반 대화,나는 수능 또 보라고 하면 절대 못 볼 것 같아.수능 한 번으로 인생이 달라질 수도 있는 거잖아.
236,일반 대화,전 이번 달도 택시비가 카드값 반입니다요 ㅋㅋ헐랭 ㅠㅠ 진짜 은근 교통비가 많이 들어요... ㅠㅠ
237,일반 대화,겨울에는 비염이 덜 심하지?건조하면 또 가끔 비염 심할 때 있어 !
238,일반 대화,요즘 웹툰 드라마화 하는 거 진짜 많다ㅁㅈ 요즘 윰세포 보는 중
239,일반 대화,"벌써 빼빼로 데이가 코 앞인 거 알고 있어?오, 벌써 10월도 다 지나가네. 시간 참 빠르다"
240,일반 대화,난 액션영화 좋아해 ㅋㅋ 분노의질주 이런거헉 완전 남자 영화 좋아하는구나? ㅋㅋ/추천이 어렵겠는 걸...
241,일반 대화,맞아 밖에서 먹는 치맥이 최고지 ㅜㅜ맞아 맞아 언제 한번 만나서 먹자
242,일반 대화,헐 ㅋㅋ 그거 너무 신박한데? 공용 화장실인 줄 알았어아니야 그런 곳도 있지만 요즘엔 잘돼있어
243,일반 대화,그럴일이 없어...어...나도그래... ㅋㅋ 살도안빠지고우울하네 다이어트의지도없어 ㅋㅋ
244,일반 대화,하하 이번에 댄서들도 돈 많이 벌듯해 하하나는 가비 보기만 해도 너무 재밌어 ㅋㅋ
245,일반 대화,그럼 산책만 시켜주는 거야?ㅋㅋ 응 사회성 없어서 산책할 때도 다른 개 못 만나
246,일반 대화,퀸도 좋아해아 나 그런 거 보고 싶은데 볼 일이 없넹...
247,일반 대화,라이관린 닮았어아 그래? 잘생겼구나
248,일반 대화,작게 틀어도 잘 들려서 좋더라.지하철 소음이 엄청 크지.
249,일반 대화,일단 사이즈가 프리사이즈인데 너무 조그매서 못 입을 것 같아.그런 경우 많아. 내가 뚱뚱한 편이 아닌데도 안 맞는 옷이 있다니까?
250,일반 대화,그 기지 파괴하는 건 똑같더라구!거의 그렇긴 하지 ㅋㅋ 기지 파괴
251,일반 대화,요즘 사람들이 하는 다이어트에 대해 어떻게 생각해?급하게 살 빼서 사진찍는 바디프로필은 별로 좋은 방법은 아닌 것 같아
252,일반 대화,경기도에 강아지 믹스견이야똥깡아지네 완전 보고싶어
253,일반 대화,너 독도 가봤어?아니 ㅋㅋ 넌 가봤어?
254,일반 대화,그래서 난 냉면 잘 안좋아해 ㅜ예전에는 그 느낌 진짜 싫어해서 함흠냉면 안좋아했는데 요새는 그 느낌을 그렇게까지 못 받은거 같아서
255,일반 대화,응응 삼성에서 괜찮게 나온다고 하더라 ㅋㅋ맞아 세탁기 건조기 세트로 많이 팔더라구!/난 어제 이사할려고 부동산 다녀왔어
256,일반 대화,왜 별로야?일자리는 많은데 생산직이 엄청 많은거 같아
257,일반 대화,맞아. 이발소하면 딱 생각나는 이미지가 있지빨강색. 파랑색. 하얀색 선이 회전하는 봉이 나는 제일 생각나
258,일반 대화,"멀미 하는 사람들 때문에아 그래? 아쉽다, 난 멀미해도 먹을거 냄새 잘 맡는데,"
259,일반 대화,그나저나 부산도 4단계라서 이동하는데 힘들겠어 ㅜㅜ맞아 집에만 있어야 해서 많이 답답하대 ㅠ
260,일반 대화,아 그리고 다이어트에는 식단도 중요하대!맞아 내가 찾아보니까 단백질을 많이 먹는 게 좋을 거 같아
261,일반 대화,체코랑 라트비아 다시 재봉쇄한다는데아 맞아 코로나 다시 퍼졌다더만
262,일반 대화,언니네 오빠 군대 갔을 때는 복무 기간 얼마나 되었지?한 2년 안되게 했던 거 같아!
263,일반 대화,내 친구 먹고있는데 괜찮다는데 걱정은 되더라고다시 생각해보니깐 언니꺼 한 개 뺏어 먹어봄
264,일반 대화,응 그래서 이걸로 주민들이 불편하다고 얘기하는 경우가 많나봐... 아직 과도기인듯...적당한 방법을 찾을 수 있음 좋겠다
265,일반 대화,ㅋㅋ 진짜 해 쨍쨍 장난 아니야더워 지금은 밖에 나갔다 오니까/약간 반팔 입고 시원?
266,일반 대화,그래? 그래도 3키로 정도 더 뺴려고 하는데 어떻게 생각해?안돼. 여기서 더 빼면 너무 말라 비틀어질 거야.
267,일반 대화,그런 직업 정신과 많은 사람들의 노력이 있기에 좋은 영화를 만들 수 있는 것 아닐까?맞는 말이야. 영화 제작에 힘쓰는 모든 사람들의 노고에 박수를 보내고 싶어!
268,일반 대화,맞아 우리 오빠가 벌써 14년쯤 된 건가 그러니까... 진짜 잠도 안 재웠다더라 잠꼬대 심하다고ㅋㅋ 무서워... 우리 학교 다녔을 때가 좋았던 것 같네
269,일반 대화,근데 여기서 중요한 게 가난한 나라한테 더 비싸게 팔았단 거야!헐 완전 양아치잖아?/돈 없는 거 뻔히 알면서!
270,일반 대화,아 그럼 잘해봐 이러고 말았는데...엉엌 ㅋㅋ 그니까 뭐래
271,일반 대화,진짜 피지컬이 신이 빚어놓은 몸 아니냐몸만 빚었게? 얼굴도 빚었어
272,일반 대화,요즘 미주가 진짜 웃기더라 하하맞아 포텐 터진 것 같아 ㅋㅋ
273,일반 대화,수건도 안주시던데...바쁘셨나보다...^^
274,일반 대화,난 챙길 일이 2배라는 게...ㅋㅋ 아 그런 점도 있지...  시댁 일도 인제 우리 가족이니 챙겨야 하는 거
275,일반 대화,아 손으로 빗어주는구나너는 빗으로 빗어?
276,일반 대화,영화 안 본지 너무 오래 되서 고민된다.요즘 베놈 많이 보는 것 같은데 어때?
277,일반 대화,우리나라에서 키울 수 있는지 알아보고 있어.주변에 페럿을 키우는 사람이 있는데 귀여워.
278,일반 대화,요즘은 게임이 재미가 없네새로 찾은 게임도 벌써 질린거야?
279,일반 대화,게임할 때 아이템을 중요시 해?응 나는 게임에 돈을 한번 써 봤어
280,일반 대화,오 그러면 친구들도 같이 갔어?웅 친구들 몇 명하고 같이 나갔어 ㅋㅋ
281,일반 대화,헐 근데 너 왜 나랑 예비군은 1년차이지?그러게... 왜그래?
282,일반 대화,아...그래서 응급실이구나...!어 ㅋㅋ 제일 매운게 사망맛인가...이름부터 맵다;
283,일반 대화,그러니까 말이야. 그래서 위생적으로도 문제가 있고 실제 사용에도 문제가 많나 봐그래서 사제 위장 크림 같은 경우는 화장품 가게에서도 팔잖아
284,일반 대화,SUV 소형차도 있어 ? 오소형차 치곤 이쁘더라~ 하하
285,일반 대화,피씨방 가서 하느니 그냥 집에서 할라고그게 낫긴 하지
286,일반 대화,보통 화창한거 좋아하더라고딱 오늘 같은 날씨
287,일반 대화,너 아침먹어?응 원래 아침보다 잠을 택했는데/점심전까지 배고파서 먹어야겠더라ㅠㅠ
288,일반 대화,내 말이 전범 국가 주제에.사실상 나치랑 똑같은 취급을 받아야 하는데.
289,일반 대화,너 이번에 물고기 몇 마리 산 거야?나 물고기 4마리 데려왔어
290,일반 대화,나도 그럴 생각이야 가족이니까 계속 보고싶을 것 같아나도 네가 독립한다면 시원섭섭할 것 같은 느낌이야.
291,일반 대화,나 이번에 셋째 낳아보니 너무 좋더라너네는 셋째 생각 있었던 게 너무 대단해
292,일반 대화,맞아 너무 이쁘더라고신기하다 이름도
293,일반 대화,여름에 수상 스키를 타보고 싶어그거 정말 신기하더라.
294,일반 대화,ㅋㅋ 그러게 그친구 집에서 하루종일 요양할 준비하더라ㅋㅋ 먹을거 뭐 먹을지 벌써 정하고 그러던데 ㅋㅋ 백신맞고...잘 챙겨먹어야지
295,일반 대화,거기가 지옥이야 증말정말 그곳이 지옥이지 생지옥
296,일반 대화,나 예전에 인셉션봤을때는웅웅
297,일반 대화,바다 보러 가는게 목적이라 가까운 곳으로 정했어그런게 목적이면 인천이 더 가깝지 않나?
298,일반 대화,효과는 모르겠는데 안 바르면 괜히 허전해서 바르고 있어꾸준히 챙겨 바르면 효과 있겠지  난 귀찮아서 못 바르겠더라 ㅜㅜ
299,일반 대화,ㅋㅋ 맞아 차 사는 게 마냥 좋은 게 아니네 또너 기차 타는 것도 좋아해?
300,일반 대화,나지금 유튜브에서 영화 리뷰 보는 중오 나도 그런 거 본 적 있어./전부 재미있게 소개를 잘 하더라
301,일반 대화,난 지금보다 조금 더 추워지면 좋을 것 같아오? 지금 낮은 좀 덥긴해
302,일반 대화,"호텔델루나 봐줘,ㅜㅜㅋㅋ 왜 재밌나 ㅋㅋ/몇화꺼지 봤어"
303,일반 대화,ㅋㅋ 보통 식사하고 노래방 가거나 카페 가기도 해노래방도 가? 그건 별로다 하하
304,일반 대화,근디 그거 알려주시는분이어어 알려주시는분이...안알려줬어? 원장선생님한테?
305,일반 대화,그러니까. 그게 제일 문제다ㅋㅋ 그래도 힘내. 앞머리는 금방 기르자나
306,일반 대화,평생직장이 될 거 같아~평생 직장까지야 ㅋ어떤 일을 평생 직장 삼아야 되나 고민하고 있다구~
307,일반 대화,맞아 그리고 서류 통과를 해서 면접을 보게 된다고 해도 정장도 빌려야 하잖아그렇게 준비를 해서 마음에 드는 곳에 합격하면 다행인데/그렇지 못하면 좀 정신적으로 힘들 것 같아
308,일반 대화,왜 비비큐는 빼는거야? 하하비비큐는 자주 먹었기 때문이지 하하
309,일반 대화,그리고 거의 술보다 안주를 먹어서 ㅋㅋ안주는 머 먹어?
310,일반 대화,물건 상태는 어때?거의 당일 배송이더라 상태 완전 좋지
311,일반 대화,중딩때 학교에서 쳐봄수업에도 성적도 들어갔었음 ㅠ
312,일반 대화,이제 만나면 결혼 생각도 해야겠네?아무래도 그렇지 ㅋㅋ/그래서 더 신중해져 ㅋㅋ
313,일반 대화,헐 그때 델타가 아직도 남아 있어?매일매일 집단감염이 나와서 언제 나아질진 모르겠다 ㅠ
314,일반 대화,K2 무기 알어?총 말하는 거지?
315,일반 대화,걔도 처음 추는데 나보다는 잘 따라하더라고.그래서 연습하겠다는 거구나.
316,일반 대화,너랑 똑같지 않아?응 나도 어제 검사했는데 지방이 16KG 나왔어
317,일반 대화,"그러려고, 그런데 의자 색상이 2개인데 지금1개 색상만 5개나 나와서 더 짜증이 나아이템 드랍율에 문제가 있는거 아니야?"
318,일반 대화,강아지랑 같이 등산 가고 싶은데 괜찮을까?강아지 체력이 괜찮으면 상관없지 ㅋㅋ
319,일반 대화,서있는데 너무 귀여워서 한참을 쳐다봤지 뭐야.웰시코기 엉덩이 식빵 같고 다리도 짧은 게 아장아장 걸어서 귀여워.
320,일반 대화,아 개더워 진짜마져 집에 잇는데도 개더움
321,일반 대화,응으 이번주 한주만 쉬고 몰두해서 할 거 다 끝내버리려고나는 조급하긴 하지만 내년 까지는 좀 편하게 지내려구!/하고 싶은 것도 많이 하면서 말야
322,일반 대화,준비가 돼있는 나라 위주로 계속 할건가봐그럼 구단들이 곤란하겠는걸
323,일반 대화,요즘 완전 주식 여론 뒤숭숭하던데나 그냥 한 달에 20씩 하는 중 너무 많이 하기는 그래서 그냥 무대포로 하는 중...
324,일반 대화,아 그런 문제가 있구만 ㅋㅋ 15만이면 좀 쎄긴 한 거 같네응응… 환승이 많아서 그런 거 같아 ㅠ 돈 아까움 ㅠ
325,일반 대화,진짜? 난 진짜 지루해서 졸았는데...난 라라랜드보고 졸았는데...
326,일반 대화,그 초당 옥수수 라떼 먹어 봐... 헤븐ㅋㅋ 옥게이 참고하겠어 ㅋㅋ 먹방
327,일반 대화,너 축구 직관하러 자주 갔었지?응 ㅋㅋ 매 경기마다 갔었어 하하/왜?
328,일반 대화,어때 만족스러웠어 그 때?나는 별로 잘 못하는데 갔어
329,일반 대화,그러니까 ㅋㅋ 온갖 깨끗한 척은 다 했었다고 하더래진짜 속이려고 작정을 한 거네?/주변에서도 몰랐대?
330,일반 대화,애인과만 한다는 게 특별한 점인 것 같아아 다른 사람은 볼 수가 없어?
331,일반 대화,"공부해야한다. 우리도 주택,부동산 공부하자.응...조금...반갑지않긴한데...해보자..."
332,일반 대화,으앙 ㅜㅜ 저건 다시 봐도 레전드야 ㅜㅜ넘 슬퍼 눈물 줄줄이야~/디지몬도 재밌었지~
333,일반 대화,봉준호 영화감독이 기생충으로 유명하신 분인가?응 맞어~  내 기억이 맞는진 모르지만/괴물도 그분이 내셨을껄?
334,일반 대화,나 11월 말까지 프로젝트 있어서 12월에 놀러 가기로 했어 ㅜ헐 남자친구랑 놀러 간다고 했던 거기?
335,일반 대화,내가 공부할 때 스트레스를 혼자 코인노래방으로 푸는데 그걸 못해서 조금 힘들었어.그래도 노래방 정말 위험하니까 좀 더 참자.
336,일반 대화,응 우리나라에선 제일 빨리 단풍 드는 산이잖아아 그래?/그거까진 몰랐네 ㅋㅋ/그럼 거기로 가보자~
337,일반 대화,저런...약때문에 맛이 없어서 안먹나...그런가봐…이제는 질리나봐
338,일반 대화,오늘 링귀걸이 샀는데 너무 맘에 들어.오늘 쇼핑을 많이 했네.
339,일반 대화,편해서 좋았던 거야?몸은 편한데 손님 응대는 조금 어려웠던 것 같아
340,일반 대화,언니 거기 전세로 살고 있어?여기는 월세야 ㅠ 전세 없지 돈 ㅋㅋ
341,일반 대화,영화관 데이트 자주해?응 난 영화 좋아해서 자주 하는 편인거 같아
342,일반 대화,방탈출ㅋ방탈출도 깰거 이제 없겠는데
343,일반 대화,뭐 여자나 남자나 상관 없는데 다이어트 성공해서 판다고 해서 괜히 슬펐다 ㅠ아 진짜 완전 그분한테  좋은 기운 받았네!
344,일반 대화,맞아 ㅋㅋ 근데 뭐 엄마도 얼마나 힘들겠어진짜 엄마는 아플 때도 우리 밥 생각부터 하셔
345,일반 대화,나는 일단 타격감이 되게 시원하다고 느껴져서 하하그런 비슷한 종류로 더 파이팅이라는 만화도 괜찮겠다
346,일반 대화,좋아하는 게임 있니?나는 배틀그라운드를 즐겨하지
347,일반 대화,안그래도 한강에 번개 꽂히는거 신기하던데 ㅋㅋ 보셨나요?아쉽게도 ㅋㅋ 본 적 없습니다 ㅋㅋ
348,일반 대화,내년에는 그래도 가능하지 않을까?나는 오프라인 콘서트를 언제든 맞이할 준비가 되었어.
349,일반 대화,너희들은 비혼주의니?딱히? 결혼은 원하면 하는거지
350,일반 대화,나도 처음이라 잘 모르는데 광고 보고 샀어!ㅋㅋ 광고도 무시 못하지
351,일반 대화,나웹툰봄요새 뭐가 흥하냐
352,일반 대화,누구나 첨에는 못치지 뭐그렇구나 다음에 한번 알려도 하는 방법
353,일반 대화,진짜 문제가 많다 문제가 많아ㅋㅋ 아니 우리나라는 급격한 경제 성장으로 사회 인식이 따라오는데 멀었다지만 미국도 참...
354,일반 대화,ㅋㅋ 너무 힘들어서 빨리 내려갈라다 골로 갈 뻔 했어한 번씩 간식 입에 넣어줘야해 하하
355,일반 대화,응 솔직히 그 날 재밌었는데잘 들어가라고 연락은 왔고?
356,일반 대화,어느 지역 가셔요 보통 가신다면?전 논산! ㅋㅋ/근데 집에서 제사를 지내서ㅋㅋ 논산은 당일치기로 갔다 옵니다 ㅋㅋ
357,일반 대화,정말? 나랑 같이 보러 갈 거야~?영화 보고 싶다며! 나도 보고 싶어!
358,일반 대화,그런데 아르바이트도 자기소개서를 써야 하니네 요즘에는 이력서 밑에 간단한 자기소개서를 쓰라고 해요
359,일반 대화,맛있어보여ㅜㅠ웅웅 ㅋㅋ 존맛탱 !
360,일반 대화,사람들이 그렇게 엄청 몰릴 줄 몰랐지 하하아하 하하 근데 미국시장 말고는 거의다 삼성이 우세래
361,일반 대화,너 캠핑장에 온다는 친구랑 남자친구는 사귄지 얼마나 됐어?한 1년 좀 넘었나? 실제로 본적 없음
362,일반 대화,대단 나도 한번 이사 도와줘 봤어오 힘들지 않았어?/근데 자취 오래한 애들은 자기만의 노하우? 그런 게 있어서 잘 하더라/마치 여행 가는 짐 싸듯이 이삿짐을 싸 ㅋㅋ
363,일반 대화,입대 앞두고 머리 밀때 기분 어땠어?나는 그 전에 가봤어서 그런지 아무렇지도 않았었어
364,일반 대화,나는 오늘 형이랑 심하게 싸웠어 ㅋㅋ어제는 사이 좋더만 오늘 왜 싸웟어!
365,일반 대화,응...재택근무를 했으면 좋겠는데.ㅠㅠ 코로나 때문에 사람 많은거 신경쓰이는데 출퇴근시간 지하철에 사람 너무 많아.../ㅠㅠ 코로나 때문에 사람 많은거 신경쓰이는데 출퇴근시간 지하철에 사람 너무 많아...
366,일반 대화,재활이라도 다녀야지물리치료 자주 해주고 무리하지 말아야 해
367,일반 대화,아 난 금요일 연차냈는데 일 많아서 나와야할거같아...진짜 싫다헐... 이미 낸건데 그냥 좀 쓰게 해주시지
368,일반 대화,언니네 농사 진다고 땅 있잖아!아냐! 어디서 다른 애랑 헷갈리는 거야!
369,일반 대화,근데 오늘은 하루종일 비 와서 긴팔 입어도 추웠어.옷 날씨에 맞춰 입기 힘들었겠다.
370,일반 대화,가을 다가오니깐 ㅋㅋ 고구마 메뉴 많이 나오는 듯갑자기 군고구마 먹고 싶다 ㅋㅋ 맛있어
371,일반 대화,얘가 고등학교 때부터 스트레스에 취약하긴 했어.압박감이 장난 아닌가봐.
372,일반 대화,하하 아니아니 지금은 해외못가자나 하하아항 미래 얘기지 ㅋㅋ
373,일반 대화,에스파 멋있더라 넥스트 레벨 안무가 좋은것같아카리나는 신이에요
374,일반 대화,네발 자전거는 탈 수 있어ㅋㅋ 전기자전거 중에서 네발 자전거가 있을까?/
375,일반 대화,"아빠 전형적 시골 사람 ㅋㅋ나두... 그냥 막 아파트 단지에서 잠옷 입고 다니기... 뛰어다니기, ... 소리 질러서 부르기..."
376,일반 대화,나 아직도 너의 무릎에 난 진물이 기억나 ㅋㅋ나도 무릎에서 고름 나온 적은 처음이었어 ㅋㅋ
377,일반 대화,ㅋㅋ 그러게 아파서 별 소식없나...왜 가타부타 말이 없냐몸살 오려다가 괜찮아졌나보네 ㅋㅋ
378,일반 대화,나도 야외 낚시 못할 듯ㅋㅋ 그치 너무 적막하고 ㅋㅋ 그럴 거 같아/실내낚시는 해봤어?
379,일반 대화,응 세종 결혼식장이 더 깔끔하고 더 좋을 걸?하긴 대부분 신식 건물이겠다 ㅋㅋ
380,일반 대화,오늘 댄스 학원 처음 가는 날이야.언니 댄스 학원도 다녀?
381,일반 대화,곧 대통령 선거 한다던데 너 알고 있어?응 대통령 선거는 항상 큰 이슈지
382,일반 대화,대박이다 진짜... K드라마는 아무도 못 이김그건 인정이다 하하 국뽕이 차오른다
383,일반 대화,한 5년 넘었어.5년 넘었으면 신축은 아니네.
384,일반 대화,ㅋㅋ 나 나름 좋은 사내복지를 누리고 있었네응. 누가 안채워두면 먹지도 못하고 다시 채우고 그랬거든
385,일반 대화,내 친구도 한 번도 본 적이 없대.언니는 입마개 쓰는 거 본 적 있어?
386,일반 대화,그런 데서 항상 상 받고 그랬지.와 난 글 쓰는 거 상 받는 애들이 제일 신기했는데.
387,일반 대화,교통이 복잡해서 공항 갈 때 아니면 안 가!그러면 서울로 놀러는 안 가?
388,일반 대화,이제 슬슬 지겨워지려고 해.해가 서쪽에서 뜰 일이네.
389,일반 대화,진짜? 넷플릭스에서 보는 중?응지금 일화보는중이야
390,일반 대화,전기킥보드는 운동 안 되겠지?당연한 거 아니야?
391,일반 대화,오 오늘 갯마을 차차차 한다!오 나는 보지않지만 좋겠네~
392,일반 대화,너 예전에 피카츄 배구 게임 해봤어?피카츄? ㅋㅋ/아니요/그건 또 뭐예요 ㅋㅋ
393,일반 대화,ㅋㅋ 지코바배달은늦었지만 맛있지맞어/맛지겟지?/[사진]
394,일반 대화,그게 입항일만 다르면 관세를 안내거든?응응 그렇지
395,일반 대화,지면 재미 없잖아.져도 재밌긴 해.
396,일반 대화,그렇게 말해줘서 고마워운동 재밌겠다/내가 좋아하는 영화도 많이 추천해줄게
397,일반 대화,오늘 낮에 정말 따듯하더라.그래?/나 오늘 낮에 나가본적이 없어.
398,일반 대화,ㅋㅋ 아 웃겨 진짜 물풍선에 가둬서 터져버린다너무하네 ㅋㅋ 같은 팀 아니였냐고 우리 ㅋㅋ
399,일반 대화,너는 어떤 계절 좋아해?나는 여름이 좋아~
400,일반 대화,외출도 안했는데 과외는 어떻게 했어?오늘 학생네 학교에서 확진자가 나왔나 봐
401,일반 대화,그러게 그래서 다음부턴 아침에 빌리려고 하하ㅋㅋ 좋지 아침 바다 드라이브 낭만적이야
402,일반 대화,지금 바다가 아주 난리더만...바다 지켜 ㅠ
